latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-24.991213,135.04845,189.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),weather_code (wmo code),wind_speed_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³)
2020-01-01T00:00,32.6,15,0.00,0,15.0,32.0,0.038
2020-01-01T01:00,34.7,14,0.00,0,13.6,32.0,0.038
2020-01-01T02:00,36.6,13,0.00,0,13.2,32.0,0.038
2020-01-01T03:00,38.3,12,0.00,1,13.0,32.0,0.038
2020-01-01T04:00,39.5,11,0.00,1,13.5,32.0,0.038
2020-01-01T05:00,40.3,11,0.00,0,14.3,32.0,0.038
2020-01-01T06:00,40.7,11,0.00,0,15.2,32.1,0.038
2020-01-01T07:00,40.6,11,0.00,0,16.8,32.1,0.038
2020-01-01T08:00,40.0,12,0.00,0,19.0,32.1,0.038
2020-01-01T09:00,39.0,12,0.00,0,18.9,32.1,0.038
2020-01-01T10:00,37.4,13,0.00,0,14.8,32.1,0.038
2020-01-01T11:00,36.2,13,0.00,0,12.7,32.1,0.038
2020-01-01T12:00,35.5,13,0.00,0,13.8,32.1,0.038
2020-01-01T13:00,33.8,14,0.00,0,12.8,32.1,0.038
2020-01-01T14:00,32.8,14,0.00,0,14.5,32.1,0.038
2020-01-01T15:00,31.7,17,0.00,0,15.5,32.1,0.038
2020-01-01T16:00,30.3,18,0.00,0,12.4,32.1,0.038
2020-01-01T17:00,28.9,19,0.00,0,11.5,32.1,0.038
2020-01-01T18:00,27.9,20,0.00,0,11.7,32.1,0.038
2020-01-01T19:00,27.0,21,0.00,0,9.7,32.1,0.038
2020-01-01T20:00,26.1,21,0.00,0,9.0,32.1,0.038
2020-01-01T21:00,27.3,19,0.00,0,9.6,32.1,0.038
2020-01-01T22:00,30.6,15,0.00,0,12.7,32.1,0.038
2020-01-01T23:00,33.7,12,0.00,0,14.8,32.1,0.038
2020-01-02T00:00,34.8,11,0.00,0,7.9,32.1,0.037
2020-01-02T01:00,37.3,10,0.00,0,8.1,32.1,0.037
2020-01-02T02:00,39.3,10,0.00,0,8.1,32.1,0.037
2020-01-02T03:00,40.7,10,0.00,0,6.5,32.1,0.037
2020-01-02T04:00,41.7,10,0.00,0,5.8,32.1,0.037
2020-01-02T05:00,42.3,10,0.00,0,6.1,32.1,0.037
2020-01-02T06:00,42.7,10,0.00,0,6.8,32.1,0.037
2020-01-02T07:00,42.6,10,0.00,0,7.2,32.1,0.037
2020-01-02T08:00,42.3,11,0.00,0,9.1,32.1,0.037
2020-01-02T09:00,41.6,11,0.00,0,10.0,32.1,0.037
2020-01-02T10:00,39.8,12,0.00,0,6.9,32.2,0.037
2020-01-02T11:00,38.1,13,0.00,0,7.3,32.2,0.037
2020-01-02T12:00,37.5,12,0.00,0,12.8,32.2,0.037
2020-01-02T13:00,36.1,13,0.00,0,15.2,32.2,0.037
2020-01-02T14:00,34.6,13,0.00,0,13.3,32.2,0.037
2020-01-02T15:00,33.5,13,0.00,0,14.2,32.2,0.037
2020-01-02T16:00,32.6,13,0.00,0,15.3,32.2,0.037
2020-01-02T17:00,31.3,14,0.00,0,14.1,32.2,0.037
2020-01-02T18:00,30.3,14,0.00,0,12.6,32.2,0.037
2020-01-02T19:00,29.7,14,0.00,0,12.9,32.2,0.037
2020-01-02T20:00,29.3,14,0.00,0,13.3,32.2,0.037
2020-01-02T21:00,30.1,14,0.00,0,16.6,32.2,0.037
2020-01-02T22:00,32.9,12,0.00,0,24.8,32.2,0.037
2020-01-02T23:00,36.2,10,0.00,0,25.1,32.2,0.037
2020-01-03T00:00,39.4,13,0.00,0,23.4,32.2,0.037
2020-01-03T01:00,41.0,14,0.00,0,25.9,32.2,0.037
2020-01-03T02:00,42.5,12,0.00,0,25.7,32.2,0.037
2020-01-03T03:00,44.0,11,0.00,1,19.6,32.2,0.037
2020-01-03T04:00,44.2,10,0.00,1,15.6,32.2,0.037
2020-01-03T05:00,44.3,10,0.00,0,13.1,32.2,0.037
2020-01-03T06:00,44.6,10,0.00,0,10.9,32.2,0.037
2020-01-03T07:00,44.3,10,0.00,0,11.7,32.2,0.037
2020-01-03T08:00,44.0,10,0.00,0,14.1,32.2,0.037
2020-01-03T09:00,43.0,10,0.00,0,13.3,32.2,0.037
