latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.629173,-92.57141,274.0,-18000,America/Chicago,CDT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),weather_code (wmo code),wind_speed_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³)
2020-01-01T00:00,0.5,70,0.00,0,12.0,7.6,0.389
2020-01-01T01:00,0.1,72,0.00,0,11.5,7.5,0.389
2020-01-01T02:00,-0.2,73,0.00,0,11.3,7.5,0.389
2020-01-01T03:00,-0.5,75,0.00,0,10.8,7.5,0.389
2020-01-01T04:00,-0.8,77,0.00,0,10.7,7.5,0.389
2020-01-01T05:00,-0.8,76,0.00,0,11.3,7.5,0.389
2020-01-01T06:00,-0.5,73,0.00,0,12.6,7.5,0.389
2020-01-01T07:00,0.3,68,0.00,0,12.8,7.4,0.389
2020-01-01T08:00,-0.3,70,0.00,0,13.2,7.4,0.389
2020-01-01T09:00,0.2,69,0.00,0,13.4,7.4,0.389
2020-01-01T10:00,2.7,62,0.00,0,14.5,7.4,0.389
2020-01-01T11:00,5.3,53,0.00,0,15.4,7.4,0.389
2020-01-01T12:00,7.7,47,0.00,0,17.0,7.3,0.389
2020-01-01T13:00,9.8,43,0.00,0,17.2,7.3,0.389
2020-01-01T14:00,11.3,40,0.00,0,19.3,7.3,0.389
2020-01-01T15:00,12.2,39,0.00,0,19.1,7.3,0.389
2020-01-01T16:00,12.2,40,0.00,0,18.6,7.3,0.389
2020-01-01T17:00,11.5,42,0.00,0,20.9,7.3,0.389
2020-01-01T18:00,10.4,43,0.00,0,20.3,7.3,0.389
2020-01-01T19:00,10.5,41,0.00,0,20.5,7.3,0.389
2020-01-01T20:00,9.5,44,0.00,0,20.5,7.3,0.389
2020-01-01T21:00,8.7,49,0.00,0,20.1,7.3,0.389
2020-01-01T22:00,8.0,52,0.00,0,18.2,7.3,0.389
2020-01-01T23:00,7.4,54,0.00,0,18.4,7.3,0.389
2020-01-02T00:00,7.0,55,0.00,0,18.1,7.3,0.389
2020-01-02T01:00,6.6,57,0.00,0,18.9,7.3,0.389
2020-01-02T02:00,6.3,61,0.00,0,18.3,7.3,0.389
2020-01-02T03:00,5.8,66,0.00,0,15.9,7.3,0.389
2020-01-02T04:00,5.4,71,0.00,0,14.8,7.3,0.389
2020-01-02T05:00,5.2,75,0.00,0,15.6,7.3,0.389
2020-01-02T06:00,4.8,79,0.00,0,14.2,7.3,0.389
2020-01-02T07:00,5.7,83,0.00,1,11.6,7.3,0.389
2020-01-02T08:00,5.4,86,0.00,1,12.4,7.3,0.389
2020-01-02T09:00,5.5,88,0.00,1,10.5,7.3,0.389
2020-01-02T10:00,7.4,82,0.00,1,9.2,7.3,0.389
2020-01-02T11:00,9.2,76,0.00,1,12.6,7.3,0.389
2020-01-02T12:00,10.7,71,0.00,1,12.0,7.3,0.389
2020-01-02T13:00,11.8,69,0.00,3,15.6,7.3,0.389
2020-01-02T14:00,12.6,65,0.00,3,13.0,7.3,0.389
2020-01-02T15:00,12.6,65,0.00,3,9.5,7.3,0.389
2020-01-02T16:00,12.6,68,0.00,3,5.4,7.3,0.389
2020-01-02T17:00,11.7,74,0.00,3,4.7,7.3,0.389
2020-01-02T18:00,10.5,81,0.00,3,3.9,7.3,0.389
2020-01-02T19:00,9.7,80,0.00,3,3.6,7.3,0.390
2020-01-02T20:00,9.5,80,0.00,3,5.5,7.3,0.390
2020-01-02T21:00,8.8,88,0.00,3,4.8,7.3,0.390
2020-01-02T22:00,8.7,85,0.00,3,3.6,7.4,0.390
