latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
27.029877,30.0,198.0,10800,Africa/Cairo,EEST

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),weather_code (wmo code),wind_speed_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³)
2020-01-01T00:00,7.6,74,0.00,0,11.0,19.8,0.060
2020-01-01T01:00,6.7,78,0.00,0,10.7,19.8,0.060
2020-01-01T02:00,6.0,80,0.00,0,11.4,19.8,0.060
2020-01-01T03:00,5.6,80,0.00,0,11.6,19.8,0.060
2020-01-01T04:00,5.3,76,0.00,0,12.9,19.8,0.060
2020-01-01T05:00,4.8,73,0.00,0,13.5,19.8,0.060
2020-01-01T06:00,4.1,74,0.00,0,12.8,19.8,0.060
2020-01-01T07:00,3.6,77,0.00,0,12.3,19.7,0.060
2020-01-01T08:00,2.9,81,0.00,0,11.2,19.7,0.060
2020-01-01T09:00,4.4,74,0.00,0,9.2,19.7,0.060
2020-01-01T10:00,6.7,63,0.00,0,6.5,19.7,0.060
2020-01-01T11:00,8.9,54,0.00,0,5.4,19.7,0.060
2020-01-01T12:00,10.8,47,0.00,1,5.8,19.7,0.060
2020-01-01T13:00,12.5,42,0.00,1,6.5,19.7,0.060
2020-01-01T14:00,13.7,40,0.00,1,8.3,19.7,0.060
2020-01-01T15:00,14.5,38,0.00,1,10.8,19.7,0.060
2020-01-01T16:00,14.7,38,0.00,1,10.8,19.7,0.060
2020-01-01T17:00,14.6,38,0.00,1,10.1,19.7,0.060
2020-01-01T18:00,13.4,41,0.00,1,9.0,19.7,0.060
2020-01-01T19:00,11.8,46,0.00,1,9.0,19.7,0.060
2020-01-01T20:00,10.7,49,0.00,1,8.2,19.7,0.060
2020-01-01T21:00,10.0,51,0.00,1,9.3,19.7,0.060
2020-01-01T22:00,9.3,54,0.00,1,9.5,19.7,0.060
2020-01-01T23:00,8.7,56,0.00,1,9.5,19.7,0.060
2020-01-02T00:00,8.6,55,0.00,1,10.8,19.7,0.060
2020-01-02T01:00,7.9,55,0.00,1,10.5,19.7,0.060
2020-01-02T02:00,7.0,57,0.00,1,10.0,19.6,0.060
2020-01-02T03:00,7.0,57,0.00,1,12.0,19.6,0.060
2020-01-02T04:00,6.2,57,0.00,1,11.3,19.6,0.060
2020-01-02T05:00,4.9,61,0.00,1,9.4,19.6,0.060
2020-01-02T06:00,4.2,65,0.00,1,8.8,19.6,0.060
2020-01-02T07:00,4.0,67,0.00,0,11.0,19.6,0.060
2020-01-02T08:00,3.4,73,0.00,0,11.2,19.6,0.060
2020-01-02T09:00,5.2,65,0.00,0,10.9,19.6,0.060
2020-01-02T10:00,7.7,58,0.00,0,11.5,19.6,0.060
2020-01-02T11:00,9.4,55,0.00,0,17.4,19.6,0.060
2020-01-02T12:00,10.9,53,0.00,0,17.0,19.6,0.060
2020-01-02T13:00,12.3,48,0.00,0,13.7,19.6,0.060
2020-01-02T14:00,13.4,43,0.00,0,15.9,19.6,0.060
2020-01-02T15:00,14.5,40,0.00,0,20.1,19.6,0.060
2020-01-02T16:00,14.2,42,0.00,0,23.1,19.6,0.060
2020-01-02T17:00,13.9,41,0.00,0,20.8,19.6,0.060
2020-01-02T18:00,13.0,46,0.00,0,16.3,19.6,0.060
2020-01-02T19:00,12.0,50,0.00,0,16.3,19.6,0.060
2020-01-02T20:00,11.3,55,0.00,0,16.7,19.6,0.060
2020-01-02T21:00,10.3,59,0.00,0,14.3,19.6,0.060
2020-01-02T22:00,9.4,63,0.00,0,13.3,19.5,0.060
2020-01-02T23:00,8.6,66,0.00,0,14.1,19.5,0.060
2020-01-03T00:00,7.9,68,0.00,0,14.1,19.5,0.060
2020-01-03T01:00,7.4,73,0.00,0,13.3,19.5,0.060
2020-01-03T02:00,6.9,79,0.00,0,14.1,19.5,0.060
2020-01-03T03:00,6.7,80,0.00,0,13.7,19.5,0.060
2020-01-03T04:00,6.0,85,0.00,0,13.3,19.5,0.060
2020-01-03T05:00,5.5,87,0.00,0,13.7,19.5,0.060
2020-01-03T06:00,5.1,88,0.00,0,14.1,19.5,0.060
2020-01-03T07:00,4.6,88,0.00,0,14.2,19.5,0.060
2020-01-03T08:00,4.3,89,0.00,0,14.2,19.5,0.060
2020-01-03T09:00,5.5,86,0.00,0,13.5,19.5,0.060
2020-01-03T10:00,8.0,74,0.00,0,13.8,19.5,0.060
2020-01-03T11:00,10.3,65,0.00,0,17.7,19.5,0.060
2020-01-03T12:00,12.1,58,0.00,0,20.2,19.5,0.060
2020-01-03T13:00,13.5,51,0.00,0,21.3,19.5,0.060
2020-01-03T14:00,14.2,47,0.00,0,23.8,19.5,0.060
2020-01-03T15:00,14.7,43,0.00,1,27.1,19.5,0.060
2020-01-03T16:00,14.5,43,0.00,2,27.8,19.4,0.060
2020-01-03T17:00,13.8,45,0.00,1,28.0,19.4,0.060
2020-01-03T18:00,12.6,51,0.00,0,21.3,19.4,0.060
2020-01-03T19:00,11.7,53,0.00,1,19.1,19.4,0.060
2020-01-03T20:00,11.5,52,0.00,1,20.2,19.4,0.060
2020-01-03T21:00,10.6,55,0.00,0,16.6,19.4,0.060
2020-01-03T22:00,9.4,58,0.00,0,17.7,19.4,0.060
2020-01-03T23:00,8.4,59,0.00,0,16.4,19.4,0.060
