time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),et0_fao_evapotranspiration (mm),wind_speed_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),shortwave_radiation_instant (W/m²)
2020-01-01T00:00,5.8,98,0.00,0.00,7.8,13.6,0.327,0.0
2020-01-01T01:00,5.4,99,0.00,0.00,3.3,13.6,0.327,0.0
2020-01-01T02:00,4.3,100,0.00,0.00,2.9,13.5,0.327,0.0
2020-01-01T03:00,5.7,98,0.00,0.01,3.6,13.5,0.327,81.8
2020-01-01T04:00,7.9,94,0.00,0.06,3.1,13.5,0.327,194.1
2020-01-01T05:00,11.3,82,0.00,0.14,3.5,13.5,0.327,350.0
2020-01-01T06:00,14.1,73,0.00,0.22,3.6,13.5,0.327,463.0
2020-01-01T07:00,15.7,69,0.00,0.28,4.7,13.5,0.327,537.0
2020-01-01T08:00,16.4,68,0.00,0.29,5.0,13.5,0.327,506.5
2020-01-01T09:00,16.7,68,0.00,0.26,3.6,13.5,0.327,426.9
2020-01-01T10:00,16.5,69,0.00,0.17,3.9,13.5,0.327,264.2
2020-01-01T11:00,15.3,82,0.00,0.09,3.3,13.5,0.327,124.9
2020-01-01T12:00,10.5,89,0.00,0.02,9.3,13.5,0.326,0.0
2020-01-01T13:00,10.0,91,0.00,0.00,6.6,13.5,0.326,0.0
2020-01-01T14:00,9.7,93,0.00,0.00,8.2,13.5,0.326,0.0
2020-01-01T15:00,9.2,93,0.00,0.00,7.7,13.5,0.326,0.0
2020-01-01T16:00,9.1,94,0.00,0.00,7.7,13.5,0.326,0.0
2020-01-01T17:00,7.5,97,0.00,0.00,5.9,13.5,0.326,0.0
2020-01-01T18:00,7.4,96,0.00,0.00,5.2,13.5,0.326,0.0
2020-01-01T19:00,7.9,92,0.00,0.00,5.0,13.5,0.326,0.0
2020-01-01T20:00,7.4,92,0.00,0.00,6.0,13.5,0.326,0.0
2020-01-01T21:00,7.4,91,0.00,0.00,4.6,13.5,0.326,0.0
