date,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),ET₀ (mm),wind_speed_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),shortwave_radiation_instant (W/m²),crop,Kc,ETc (mm)
2020-01-01,9.795833333333333,87.66666666666667,0.0,1.54,5.179166666666666,13.508333333333333,0.3265,2948.4,Wheat,0.35,0.5389999999999999
2020-01-02,11.625,77.16666666666667,0.0,1.6300000000000001,6.3625,13.475,0.326,2763.3,Wheat,0.35,0.5705
2020-01-03,11.620833333333332,79.25,0.0,1.78,5.908333333333334,13.591666666666667,0.324,3124.2999999999997,Wheat,0.35,0.623
2020-01-04,11.125,79.375,0.0,1.72,5.8500000000000005,13.745833333333332,0.322875,3087.0,Wheat,0.35,0.602
2020-01-05,11.533333333333333,73.16666666666667,0.0,1.57,7.258333333333333,13.891666666666667,0.323,2597.2000000000003,Wheat,0.35,0.5495
2020-01-06,11.4,88.25,13.1,0.48000000000000004,5.845833333333334,13.970833333333333,0.323,693.5,Wheat,0.35,0.168
2020-01-07,11.887500000000001,91.58333333333333,13.9,0.71,7.125,14.0,0.323,1230.7,Wheat,0.35,0.24849999999999997
2020-01-08,9.683333333333334,86.20833333333333,6.8,1.35,6.083333333333333,14.029166666666667,0.327125,2319.3,Wheat,0.35,0.4725
2020-01-09,8.554166666666667,84.95833333333333,0.0,1.67,7.804166666666667,13.950000000000001,0.33258333333333334,3382.2000000000003,Wheat,0.35,0.5844999999999999
2020-01-10,8.708333333333334,83.41666666666667,0.0,1.6800000000000002,8.016666666666667,13.816666666666668,0.33483333333333337,3435.4,Wheat,0.35,0.588
2020-01-11,10.820833333333333,73.375,0.0,1.73,9.033333333333333,13.699999999999998,0.33545833333333336,2801.6,Wheat,0.35,0.6054999999999999
2020-01-12,12.450000000000001,80.125,0.0,1.23,5.295833333333333,13.641666666666666,0.336,2020.4,Wheat,0.35,0.4305
2020-01-13,11.445833333333333,89.0,22.9,0.71,12.870833333333332,13.775,0.338,697.0,Wheat,0.35,0.24849999999999997
2020-01-14,10.008333333333333,88.25,0.0,1.44,5.958333333333333,13.800000000000002,0.34474999999999995,2696.7,Wheat,0.35,0.504
2020-01-15,9.929166666666667,86.25,0.0,1.74,5.9875,13.716666666666667,0.3481666666666667,3325.0,Wheat,0.35,0.609
2020-01-16,10.924999999999999,88.33333333333333,0.0,1.5,6.245833333333334,13.625,0.3499999999999999,2817.0,Wheat,0.35,0.5249999999999999
2020-01-17,11.408333333333333,87.45833333333333,0.0,1.81,5.004166666666666,13.6,0.35241666666666666,3304.4,Wheat,0.35,0.6335
2020-01-18,10.791666666666666,85.625,1.9,1.71,6.741666666666667,13.625,0.3539999999999999,3250.0,Wheat,0.35,0.5984999999999999
2020-01-19,10.641666666666667,85.29166666666667,0.0,1.8399999999999999,8.125,13.6,0.3565,3551.1,Wheat,0.35,0.6439999999999999
2020-01-20,12.020833333333334,77.41666666666667,0.6,1.79,6.029166666666666,13.6,0.357,3061.2,Wheat,0.35,0.6265
2020-01-21,11.629166666666668,71.54166666666667,0.1,2.06,10.4,13.6875,0.35775,2849.6,Wheat,0.35,0.721
2020-01-22,11.174999999999999,76.54166666666667,0.0,2.15,8.875,13.75,0.35833333333333334,3755.9,Wheat,0.35,0.7525
2020-01-23,9.233333333333333,80.0,0.0,1.96,8.666666666666666,13.800000000000002,0.35733333333333334,3910.1,Wheat,0.35,0.6859999999999999
2020-01-24,10.2875,76.33333333333333,0.0,2.0300000000000002,6.6125,13.708333333333334,0.3565,3898.1,Wheat,0.35,0.7105
2020-01-25,11.075000000000001,76.20833333333333,1.1,1.5,3.7291666666666665,13.608333333333333,0.35600000000000004,2625.7000000000003,Wheat,0.35,0.5249999999999999
2020-01-26,11.379166666666668,81.0,0.0,2.13,7.2250000000000005,13.6,0.35600000000000004,3770.6,Wheat,0.35,0.7454999999999999
2020-01-27,11.875,82.625,6.8,1.33,8.641666666666667,13.6,0.355875,2309.2,Wheat,0.35,0.46549999999999997
2020-01-28,12.466666666666667,89.5,14.1,0.8,11.420833333333334,13.6,0.3565833333333333,1095.9,Wheat,0.35,0.27999999999999997
2020-01-29,10.970833333333333,87.95833333333333,2.6,1.57,8.504166666666666,13.616666666666667,0.36000000000000004,2899.5,Wheat,0.35,0.5495
2020-01-30,10.375,85.58333333333333,0.0,2.0300000000000002,7.958333333333333,13.604166666666666,0.364125,3897.6,Wheat,0.35,0.7105
2020-01-31,10.679166666666667,83.75,0.0,1.98,5.625,13.6,0.3657083333333333,3713.3,Wheat,0.35,0.693
2020-02-01,10.1625,82.66666666666667,0.0,2.02,6.566666666666666,13.516666666666666,0.3675,3755.0,Wheat,0.35,0.707
2020-02-02,10.470833333333333,84.91666666666667,0.0,2.06,7.8,13.5,0.3678333333333333,3932.1000000000004,Wheat,0.35,0.721
2020-02-03,10.316666666666666,80.29166666666667,0.0,2.18,5.545833333333333,13.408333333333333,0.3685,4015.7999999999997,Wheat,0.35,0.763
2020-02-04,10.450000000000001,81.125,0.9,2.0,7.341666666666668,13.391666666666667,0.3685,3529.8,Wheat,0.35,0.7
2020-02-05,10.166666666666666,83.58333333333333,0.0,2.12,7.4875,13.300000000000002,0.36800000000000005,4112.3,Wheat,0.35,0.742
2020-02-06,11.020833333333334,75.25,0.0,2.29,5.1875,13.220833333333333,0.36599999999999994,4227.8,Wheat,0.35,0.8015
2020-02-07,10.883333333333333,79.875,0.0,2.35,6.529166666666666,13.199999999999998,0.363875,4279.2,Wheat,0.35,0.8225
2020-02-08,11.420833333333334,79.33333333333333,0.0,2.42,6.4125000000000005,13.245833333333332,0.3618333333333333,4364.6,Wheat,0.35,0.847
2020-02-09,11.958333333333334,79.66666666666667,0.0,2.53,6.295833333333333,13.341666666666667,0.3605416666666667,4401.3,Wheat,0.35,0.8854999999999998
2020-02-10,12.075000000000001,81.66666666666667,0.0,2.4,7.295833333333333,13.4375,0.3581666666666667,4269.3,Wheat,0.35,0.84
2020-02-11,13.4125,79.5,0.0,2.53,7.7625,13.5375,0.35591666666666666,4302.8,Wheat,0.35,0.8854999999999998
2020-02-12,15.291666666666666,77.04166666666667,0.0,2.75,11.0875,13.7125,0.3537083333333333,4284.3,Wheat,0.35,0.9624999999999999
2020-02-13,16.545833333333334,79.33333333333333,0.0,2.79,9.975,13.995833333333332,0.35274999999999995,4380.8,Wheat,0.35,0.9764999999999999
2020-02-14,14.316666666666668,81.54166666666667,0.0,2.65,9.25,14.295833333333334,0.3499999999999999,4594.1,Wheat,0.35,0.9274999999999999
2020-02-15,14.5,75.58333333333333,0.0,2.83,8.241666666666667,14.470833333333333,0.34883333333333333,4690.9,Wheat,0.35,0.9904999999999999
2020-02-16,15.095833333333333,73.16666666666667,0.0,3.01,7.695833333333333,14.633333333333333,0.34637499999999993,4646.4,Wheat,0.35,1.0534999999999999
2020-02-17,15.033333333333333,74.04166666666667,0.0,3.07,7.804166666666667,14.745833333333332,0.342,4898.8,Wheat,0.35,1.0744999999999998
2020-02-18,14.875,75.79166666666667,0.0,2.94,6.066666666666666,14.879166666666668,0.33829166666666666,4803.1,Wheat,0.35,1.029
2020-02-19,17.675,65.16666666666667,0.4,3.34,16.229166666666668,15.0,0.33275000000000005,3661.9,Wheat,0.35,1.1689999999999998
2020-02-20,17.216666666666665,76.66666666666667,13.2,2.54,12.016666666666666,15.1875,0.33033333333333337,3367.5,Wheat,0.35,0.8889999999999999
2020-02-21,15.258333333333333,77.75,0.4,2.44,10.075000000000001,15.391666666666667,0.3277083333333333,3694.8,Wheat,0.35,0.854
2020-02-22,16.3125,79.375,0.0,3.0100000000000002,9.104166666666666,15.5375,0.3253333333333333,4772.0,Wheat,0.35,1.0535
2020-02-23,16.454166666666666,80.08333333333333,0.0,2.53,6.25,15.674999999999999,0.32033333333333336,3782.9,Wheat,0.35,0.8854999999999998
2020-02-24,16.695833333333333,76.25,0.0,3.02,7.116666666666667,15.833333333333334,0.3153333333333333,4622.0,Wheat,0.35,1.057
2020-02-25,16.925,70.70833333333333,0.0,3.2199999999999998,6.0,15.9625,0.315125,4843.4,Wheat,0.35,1.1269999999999998
