time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),et0_fao_evapotranspiration (mm),wind_speed_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),shortwave_radiation_instant (W/m²)
2024-01-01T00:00,7.9,100,0.00,0.00,5.8,16.2,0.291,0.0
2024-01-01T01:00,7.9,100,0.00,0.00,5.7,16.1,0.291,0.0
2024-01-01T02:00,8.2,99,0.00,0.00,5.5,16.1,0.291,0.0
2024-01-01T03:00,8.2,99,0.00,0.00,4.7,16.1,0.291,0.0
2024-01-01T04:00,8.3,96,0.00,0.00,4.8,16.1,0.291,0.0
2024-01-01T05:00,8.4,96,0.00,0.00,5.0,16.1,0.291,0.0
2024-01-01T06:00,8.8,99,0.00,0.00,4.8,16.1,0.289,0.0
2024-01-01T07:00,8.9,99,0.00,0.00,3.7,16.1,0.289,0.0
2024-01-01T08:00,9.2,98,0.00,0.01,3.0,16.1,0.289,44.8
2024-01-01T09:00,9.7,98,0.00,0.04,2.4,16.1,0.289,109.3
2024-01-01T10:00,11.4,88,0.00,0.11,2.4,16.1,0.289,238.3
2024-01-01T11:00,13.0,80,0.00,0.16,3.5,16.1,0.289,316.9
2024-01-01T12:00,14.4,74,0.00,0.22,4.9,16.1,0.289,427.4
2024-01-01T13:00,15.6,70,0.00,0.26,6.2,16.1,0.289,464.9
2024-01-01T14:00,16.1,69,0.00,0.23,7.1,16.1,0.289,393.0
2024-01-01T15:00,15.8,71,0.00,0.17,7.8,16.1,0.289,270.1
2024-01-01T16:00,14.9,75,0.00,0.10,6.6,16.1,0.289,123.6
2024-01-01T17:00,11.5,91,0.00,0.02,8.1,16.1,0.289,0.0
2024-01-01T18:00,8.8,96,0.00,0.00,7.9,16.1,0.292,0.0
2024-01-01T19:00,8.9,96,0.00,0.00,6.6,16.1,0.292,0.0
2024-01-01T20:00,8.5,96,0.00,0.00,6.6,16.1,0.292,0.0
2024-01-01T21:00,8.2,97,0.00,0.00,6.5,16.1,0.292,0.0
2024-01-01T22:00,7.8,99,0.00,0.00,7.6,16.0,0.292,0.0
